,title,studio,year,domestic_gross,foreign_gross,total_gross
182,The Joneses,RAtt.,2010,1500000,5500000,7000000
183,Centurion,Magn.,2010,124000,6700000,6824000
184,Animal Kingdom,SPC,2010,1000000,5700000,6700000
185,Nowhere Boy,Wein.,2010,1500000,5100000,6600000
186,It's Kind of a Funny Story,Focus,2010,6400000,128000,6528000
187,"Waiting for ""Superman""",ParV,2010,6400000,9300,6409300
188,Greenberg,Focus,2010,4200000,1900000,6100000
189,Coco Chanel & Igor Stravinsky,SPC,2010,1600000,4099999,5699999
190,Vincere,IFC,2010,619000,5100000,5719000
191,The Illusionist (2010),SPC,2010,2200000,3400000,5600000
192,Exit Through the Gift Shop,PDA,2010,3300000,2000000,5300000
193,Mademoiselle Chambon,Lorb.,2010,532000,4700000,5232000
194,Solitary Man,Anch.,2010,4400000,818000,5218000
195,Rabbit Hole,LGF,2010,2200000,2900000,5100000
196,Vision,Zeit.,2010,435000,4600000,5035000
197,Mother and Child,SPC,2010,1100000,3900000,5000000
198,The Runaways,App.,2010,3600000,1100000,4700000
199,Four Lions,Drft.,2010,305000,4400000,4705000
200,Wild Grass,SPC,2010,404000,4200000,4604000
201,Please Give,SPC,2010,4000000,280000,4280000
202,Monsters,Magn.,2010,237000,4000000,4237000
203,Rare Exports: A Christmas Tale,Osci.,2010,236000,3800000,4036000
204,The Killer Inside Me,IFC,2010,217000,3800000,4017000
205,The Perfect Game,IW,2010,1000000,2800000,3800000
206,To Save a Life,Gold.,2010,3800000,45800,3845800
207,Inspector Bellamy,IFC,2010,108000,3600000,3708000
208,Catfish,Rog.,2010,3200000,242000,3442000
209,Wild Target,Free,2010,109000,3300000,3409000
210,Outside the Law (Hors-la-loi),,2010,96900,3300000,3396900
211,Frozen (2010),Anch.,2010,246000,2900000,3146000
212,Dabangg,Eros,2010,1300000,1700000,3000000
213,Kites,Relbig.,2010,1600000,1300000,2900000
214,Letters to God,Viv.,2010,2800000,60300,2860300
215,Twelve,Hann.,2010,184000,2400000,2584000
216,Tees Maar Khan,UTV,2010,1100000,1400000,2500000
217,Fish Tank,IFC,2010,375000,2000000,2375000
218,Housefull,Eros,2010,1200000,1200000,2400000
219,Golmaal 3,Eros,2010,1100000,935000,2035000
220,After.Life,Anch.,2010,109000,1900000,2009000
221,Cairo Time,IFC,2010,1600000,391000,1991000
222,Flipped,WB,2010,1800000,0,1800000
223,Guzaarish,UTV,2010,1000000,695000,1695000
224,Ondine,Magn.,2010,550000,1100000,1650000
225,Anjaana Anjaani,Eros,2010,855000,761000,1616000
226,John Rabe,Strand,2010,67500,1400000,1467500
227,Restrepo,NGE,2010,1300000,105000,1405000
228,Raavan,Relbig.,2010,709000,648000,1357000
229,The City of Your Final Destination,Scre.,2010,493000,859000,1352000
231,Ajami,Kino,2010,622000,669000,1291000
232,Army of Crime,Lorb.,2010,37000,1200000,1237000
233,Lebanon,SPC,2010,368000,830000,1198000
234,Howl,Osci.,2010,617000,566000,1183000
235,Videocracy,Kino,2010,23700,1200000,1223700
236,When You're Strange,Abr.,2010,246000,901000,1147000
237,The Salvation Poem (Poema de Salvacion),CZ,2010,915000,183000,1098000
238,Casino Jack,ATO,2010,1000000,40700,1040700
239,Leaving,IFC,2010,176000,893000,1069000
240,Khatta Meetha,Eros,2010,542000,499000,1041000
241,We Are Family,UTV,2010,638000,393000,1031000
242,Leaves of Grass,First,2010,70100,949000,1019100
243,North Face,MBox,2010,711000,216000,927000
244,Creation,NM,2010,341000,555000,896000
245,No One Knows About Persian Cats,IFC,2010,81800,798000,879800
246,Carlos,IFC,2010,146000,726000,872000
247,Hideaway (Le Refuge),Strand,2010,34500,837000,871500
248,The Disappearance of Alice Creed,Anch.,2010,167000,701000,868000
249,Break Ke Baad,Relbig.,2010,428000,389000,817000
250,Veer (2010),Eros,2010,527000,277000,804000
251,Life During Wartime,IFC,2010,281000,487000,768000
252,Enter the Void,IFC,2010,336000,418000,754000
253,The Secret of Kells,GK,2010,677000,62700,739700
254,The Polar Express (IMAX re-issue 2010),WB,2010,673000,0,673000
255,No Problem,Eros,2010,285000,369000,654000
256,All Good Things,Magn.,2010,582000,62500,644500
257,Jack Goes Boating,Over.,2010,542000,77600,619600
258,Holy Rollers,FInd.,2010,303000,305000,608000
259,Chain Letter,NFC,2010,139000,447000,586000
260,I Spit on Your Grave,Anch.,2010,93100,480000,573100
261,I'm Still Here,Magn.,2010,409000,160000,569000
262,Salt of this Sea,Lorb.,2010,11700,545000,556700
263,Undertow (2010),TFC,2010,109000,393000,502000
264,Father of My Children,IFC,2010,144000,335000,479000
265,The Greatest (2010),Pala.,2010,115000,359000,474000
266,The Extra Man,Magn.,2010,453000,4500,457500
267,Tiny Furniture,IFC,2010,392000,0,392000
268,Dogtooth,Kino,2010,110000,274000,384000
269,Grease (Sing-a-Long re-issue),Par.,2010,366000,0,366000
270,The Tempest,Mira.,2010,278000,68700,346700
271,The Good Heart,Magn.,2010,20900,323000,343900
272,Formosa Betrayed,Scre.,2010,225000,101000,326000
273,Red Hill,Strand,2010,21100,300000,321100
274,Welcome to the Rileys,Gold.,2010,159000,158000,317000
275,"A Woman, A Gun and A Noodle Shop",SPC,2010,191000,121000,312000
276,The Girl on the Train,Strand,2010,208000,97100,305100
277,Mesrine: Public Enemy No. 1,MBox,2010,275000,28100,303100
278,44 Inch Chest,Imag.,2010,39000,255000,294000
279,Karthik Calling Karthik,Eros,2010,286000,7100,293100
280,Last Train Home,Zeit.,2010,288000,0,288000
281,Eyes Wide Open,NAV,2010,26300,250000,276300
282,Waste Land,Arth.,2010,188000,88700,276700
283,South of the Border,CLS,2010,199000,70800,269800
284,Human Centipede,IFC,2010,181000,70700,251700
